path,composer
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\022711b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\034000b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv1066-1069 Orchestral Suites\Bwv1067 Orchestral Suite n2 3mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\066600b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024809bs.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\033000b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\014406b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Piano Sonatina in G Op79.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Concertos\Bwv1044 Flute Violin and Harpsichord Concerto 1mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv1079 The Musical Offering\Musical Offering n18 Trio-Allegro.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\034700b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Symphonies\Symphony n4 4mov.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Symphonies\Symphony n28 K200 4mov.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv846-869 The Well Tempered Clavier Book 1\WT1_XX_A.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\K525 Serenade 1mov ''Eine Kleine Natchmusik''.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv1005 Violin Sonata n3 4mov Allegro.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv870-893 The Well Tempered Clavier Book 2\Wtcii02b.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Symphonies\Symphony n41 K551 3mov ''Jupiter''.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\032400b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024859b6.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\036700b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\034400b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\005505b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0811 English Suite n6 1mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0550 Prelude and Fugue.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\K401 Fuga in G minor .mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024415bv.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0806 English Suite n1 01mov .mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Prelude n02 op28 ''Presentiment of Death''.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Overture ''King Stephen''.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv244 St. Matthew Passion\10.Wir setzen uns mit Tra_nen nieder Chorus.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\037400b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\009606b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Sonata for Piano & Cello n2 op05.MID,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Symphonies\Symphony n1 4mov.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0811 English Suite n6 7mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\029100b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\033900b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\Bwv008.6.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Hess061 Anglaise.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Piano Concerto n2 op19 2mov.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Concertos\Bwv1046 Brandenburg Concert n1 3mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv846-869 The Well Tempered Clavier Book 1\WT1_9B.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv1066-1069 Orchestral Suites\Bwv1068 Orchestral Suite n3 1mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\011308b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Piano version of Bachs two part inventions No.7.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\Bwv016.6.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0915 Toccata.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv870-893 The Well Tempered Clavier Book 2\WTCII02A.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Piano Sonatas\Piano Sonata n04 K282.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv787-801 Three Part Inventions (Sinfonias)\Bwv0788 Sinfonia n2.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0806 English Suite n1 03mov .mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0906 Fantasia and Fugue.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\029500b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Prelude n01 op28 ''Reunion''.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\011407b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Piano version of Bachs two part inventions No.8.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\WoO052 Bagatella.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024823b2.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\K626 Requiem 11 Benedictus.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Andante in F Major.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Harpsichord Concertos\Bwv1064 Three Harpsichords Concerto n2 1mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\019710b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Piano Sonatas\Piano Sonata n23 op57 2mov ''Apassionata''.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\012905b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\006206b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Symphonies\Symphony n29 K201 4mov.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv1080 The Art Of Fugue\Counter Fugue n1.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\066000b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv988 The Goldberg Variations\Variation 06.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\String Quartet n16 op135 4mov.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Piano Concertos\Piano Concerto n16 K451 1mov.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Overture ''Creatures Of Prometeus'' op43.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\K393 Solfeggi n3.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Prelude n23 op28 ''A Pleasure Boat''.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Symphonies\Symphony n4 K19 3mov.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\034600b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024440b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0815 French Suite n4.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv870-893 The Well Tempered Clavier Book 2\Wtcii01b.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv988 The Goldberg Variations\Variation 14.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\013906b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Symphonies\Symphony n36 K425 1mov ''Linz''.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\039500b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Piano Concertos\Piano Concerto n25 K503 3mov.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Symphonies\Symphony n39 K543 2mov.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv988 The Goldberg Variations\Variation 17.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\The Chelsea Notebook\Early Pieces n2 Minuet.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv846-869 The Well Tempered Clavier Book 1\WT1_8B.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Harpsichord Concertos\Bwv1057 Harpsichord Concerto n6 2mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0557 Short Prelude and Fugue n5 (Spurious).mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\064200b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\039800b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Rondo in B flat.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Ballade No.2 in F Major.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\04 Menuet.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv1066-1069 Orchestral Suites\Bwv1067 Orchestral Suite n2 5mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\028700b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\038600b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\String Quartet n2 op18 n2 3mov.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Piano Concertos\Piano Concerto n24 K491 3mov.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024537b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\006906ba.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\011704b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Nocturne No.15 in F Minor Opus.55 -1.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024842bs.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\K335 Laudate Dominus.mid,Mozart
"C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Fantasia in D, K397.mid",Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv846-869 The Well Tempered Clavier Book 1\WT1_X_A.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\WoO061a Mouvement Pour Piano.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024846b5.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\064800b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv1066-1069 Orchestral Suites\Bwv1066 Orchestral Suite n1 7mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\WoO060 Mouvement Pour Piano.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv1066-1069 Orchestral Suites\Bwv1066 Orchestral Suite n1 3mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv ''Little Notebook for Anna Magdalena Bach''\10 Menuet.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\K393 Solfeggi n5.mid,Mozart
"C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Sieben Bagatellen, in A Major, Opus.33, No.4.mid",Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Etude op25 n11 ''Winter Wind''.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Anhang 14-3.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Etude op25 n10.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Symphonies\Symphony n25 K183 1mov.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\019007b_.mid,Bach
"C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Rondo Opus.51, No.1.mid",Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\008008b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\007706b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0582 Passacaglia and Fugue.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Concertos\Bwv1042 Violin Concerto n2 1mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024437b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Concertos\Bwv1049 Brandenburg Concert n4 3mov.mid,Bach
"C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\19 Polish Songs, for Solo Voice and Piano accomplements, No.2.mid",Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Nocturne No.18 in E Major Op62.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Piano version of Bachs two part inventions No.13.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\042900b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Lieder op99 ''Der Mann Von Wort''.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv846-869 The Well Tempered Clavier Book 1\WT1_7B.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024446b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Sonata Opus.81a -Les Adieux- E flat No.2 & 3.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\The Chelsea Notebook\Early Pieces n18 Little Song.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\076903b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0933 Little Prelude n1.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\017507b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Piano Concertos\Piano Concerto n17 K453 3mov.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv1066-1069 Orchestral Suites\Bwv1066 Orchestral Suite n1 5mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv870-893 The Well Tempered Clavier Book 2\WTCII13A.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Mazurka op67 n3 Drchew.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\040900b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0540 Toccata and Fugue.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Piano Concertos\Piano Concerto n21 K467 3mov ''Elvira Madigan''.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv846-869 The Well Tempered Clavier Book 1\WT1_1B.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Symphonies\Symphony n2 op36 1mov.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Etude op10 n10.mid,Chopin
"C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\19 Polish Songs, for Solo Voice and Piano accomplements, No.5.mid",Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\035800b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Waltz op64 n1.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\041000b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\006906bav.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Piano Sonatas\Piano Sonata n14 op27 2mov ''Moonlight''.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Nocturne op15 n2.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\K525 Serenade 3mov ''Eine Kleine Natchmusik''.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv772-786 Two Part Inventions\Bwv781 Invention n10.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Piano Concerto n4 op58 3mov.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv988 The Goldberg Variations\Variation 08.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Sketch for Piano Presto.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Piano Concertos\Piano Concerto n14 K449 3mov.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Piano Sonatina No.2 Op 49.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\060800b_ .mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv232 Mass\16. Et Ressurexit.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\Bwv032.6.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0806 English Suite n1 08mov .mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\op119 Douze Bagatellas.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Barcarolle in F sharp Major.mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Symphonies\Symphony op68 n6 2mov ''Pastorale''.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Mozart\Piano Sonatas\Piano Sonata n19 K576.mid,Mozart
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\011106b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv0582 Passacaglia and Fugue (Orchestral).mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\Sonata op35 n4 .mid,Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024853b5.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv988 The Goldberg Variations\Variation 12.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\Bwv030.6.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv1014 Harpsicord and Violin Sonata 2mov.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\031300b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\064900b_.mid,Bach
"C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Clavierubung Part 111,Duet No.2 in F Major.mid",Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\024528b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Beethoven\Sonatina Fa maj woo.mid,Beethoven
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\019707ba.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\028200b_.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\014403b_.mid,Bach
"C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Chopin\19 Polish Songs, for Solo Voice and Piano accomplements, No.3.mid",Chopin
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv846-869 The Well Tempered Clavier Book 1\WT1_X1A.MID,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv232 Mass\07. Duet Domine Deus .mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Prelude and Fugue in D.mid,Bach
C:\Users\PR\AIsandiego\AAI -511\Module7\Project_PR\Bach\Bwv001- 400 Chorales\014001b_.mid,Bach
